,Zipcode,Population,Median Age,Household Income,Per Capita Income,Poverty Count,Poverty Rate
308,01529,3197,38.2,82083,29546,304,9.50891460744448
309,01531,1053,40.9,82569,30961,67,6.362773029439696
310,01532,14529,41.5,108415,43878,533,3.668525018927662
311,01534,5299,39,85000,36653,30,0.5661445555765239
312,01535,4706,42.1,54439,27452,308,6.544836379090523
313,01536,7042,40.3,76063,37846,559,7.938085771087759
314,01537,2458,40,72607,30326,287,11.676159479251425
315,01540,11148,40.3,68986,29658,593,5.319339791890922
316,01541,3424,43.8,120607,42921,162,4.731308411214953
317,01542,1782,45.4,74273,31085,84,4.713804713804714
318,01543,8075,40.3,86482,33229,343,4.247678018575852
319,01545,35575,39.2,92360,40098,1740,4.891075193253689
320,01550,16741,37.5,42471,21579,2828,16.89265874201063
321,01560,4531,32.8,81667,35305,286,6.312072390200838
322,01561,174,22.7,19637,15914,0,0.0
323,01562,11733,39.1,60197,28983,1203,10.253132191255434
324,01564,7839,44.2,98872,40536,392,5.000637836458732
325,01566,6617,43.2,82750,37893,396,5.984585159437811
326,01568,7431,41.2,105208,42387,476,6.405598169829094
327,01569,13559,40.9,86164,35249,723,5.332251640976473
328,01570,16782,41.4,47885,26411,2456,14.634727684423787
329,01571,11445,37.2,70590,28240,837,7.313237221494102
330,01581,18371,40.4,100905,45929,713,3.8811169778455175
331,01583,7698,38.9,72107,30780,293,3.806183424266043
332,01585,4646,45.7,62667,31262,466,10.03013344812742
333,01588,10350,39.2,62649,29244,776,7.497584541062802
334,01590,8943,41.7,110658,42341,302,3.376942860337694
335,01602,23707,40,62832,31101,2597,10.954570380056524
336,01603,19385,36.1,48183,22315,3971,20.484911013670363
337,01604,34720,35.9,49797,27119,5523,15.90725806451613
338,01605,27279,32.3,37705,21639,7142,26.18131163165805
339,01606,19495,39.5,66912,32781,1552,7.961015645037189
340,01607,8957,34.4,45152,24044,1626,18.15339957575081
341,01608,3558,27.2,19418,11315,1896,53.288364249578414
342,01609,21178,26.9,40660,23846,4433,20.932099348380394
343,01610,23964,25.6,30532,14040,7918,33.041228509430816
344,01611,2481,39.3,67179,33179,80,3.2245062474808543
345,01612,4856,41.3,106708,35979,224,4.612850082372323
346,01701,31435,43.6,86994,39361,1649,5.2457451884841735
347,01702,38020,33.5,53944,29023,5709,15.015781167806418
348,01718,343,38.9,132981,62059,0,0.0
349,01719,5048,43.7,101502,61461,135,2.6743264659270998
350,01720,21804,41.9,109578,53152,535,2.4536782241790496
351,01721,16792,44,93233,45834,809,4.817770366841353
